csgo_month,players_csgo,esea_month,players_esea,faceit_month,players_faceit
July-21,506067,July-21,516,July-21,75689
Aug-21,512082,Aug-21,437,Aug-21,75732
Sep-21,512350,Sep-21,358,Sep-21,76542
Oct-21,512435,Oct-21,337,Oct-21,77042
Nov-21,548161,Nov-21,395,Nov-21,85523
Dec-21,546614,Dec-21,332,Dec-21,86352
Jan-22,602376,Jan-22,382,Jan-22,89632
Feb-22,634638,Feb-22,392,Feb-22,94525
Mar-22,581489,Mar-22,324,Mar-22,92324
Apr-22,568983,Apr-22,396,Apr-22,90424
May-22,572222,May-22,441,May-22,91335
Jun-22,594453,Jun-22,386,Jun-22,95442
